timestamp,ref_x,ref_y,ref_yaw,ref_v,act_x,act_y,act_yaw,act_v,act_vx,act_vy,error_lon,error_lat,error_yaw,error_v,cmd_steer,cmd_accel,cmd_gear,comp_time_ms,min_cost,mean_cost
1765552431.339086,-25.113731,0.1,0.0,-0.44725895,-24.67277145382751,0.1063104245294865,0.008103999197111023,-0.763956013447172,-0.7625071458118712,0.047028109338239185,0.44095993044983217,0.0063104230393703775,0.008103999197111023,-0.315248196532086,0.049607962,-0.24133768857292096,-1,5.339622497558594,9.948379516601562,38.98814392089844
1765552431.3891904,-25.13596,0.1,0.0,-0.4413121,-24.71425975930226,0.10629398113040536,0.007845406255264198,-0.7298286336575975,-0.7293735903853369,-0.025768200459452054,0.421699865941882,0.006293979640289243,0.007845406255264198,-0.2880614859217596,0.019612124,-0.09463621056616536,-1,5.428314208984375,10.13388729095459,38.79387283325195
1765552431.4410634,-25.155907,0.1,0.0,-0.43529966,-24.73510979007155,0.1062690623587832,0.007487743720866913,-0.742880023128861,-0.742704816052256,-0.01613334982952035,0.4207968871745429,0.006269060868667076,0.007487743720866914,-0.30740515131646196,-0.045450374,0.05290586934906083,-1,7.295370101928711,10.052464485168457,38.123531341552734
1765552431.4916117,-25.175846,0.1,0.0,-0.42928967,-24.765653990449948,0.10548983889556374,0.007494135307482885,-0.1727158757753935,-0.17271585337824805,-8.795842587556633e-05,0.41019210940356743,0.005489837405447617,0.007494135307482885,0.25657381542019864,-0.03669212,-0.054703653549201425,-1,7.827281951904297,8.203092575073242,125.08399200439453
1765552431.6874304,-25.254303,0.1,0.0,-0.40564135,-24.76533736721593,0.10547008597750333,0.007494401623592051,0.0004355325249807827,0.00043522111534908094,-1.6466969072604187e-05,0.48896561129969385,0.005470084487387214,0.00749440162359205,0.4060765682852252,-0.057214316,-0.3566792433326771,-1,6.885528564453125,18.869462966918945,103.0358657836914
1765552431.7377093,-25.274277,0.1,0.0,-0.39962113,-24.76674471113005,0.10546520646111762,0.007516505860639455,-0.05539529081679729,-0.055314089599792095,0.0029982889159849016,0.5075320222683892,0.005465204971001503,0.007516505860639455,0.3443070394361576,-0.07953962,-0.6227475700185429,-1,7.081747055053711,24.787246704101562,61.01250457763672
1765552431.789918,-25.294209,0.1,0.0,-0.3936135,-24.769274912896844,0.10547362463889166,0.007583351204000444,-0.04752500384699364,-0.047145649059040715,0.005992809479579125,0.5249336137144844,0.005473623148775544,0.007583351204000444,0.3464678384230302,-0.032920208,-0.8282486883982034,-1,9.301424026489258,26.292558670043945,63.547428131103516
1765552431.8357155,-25.314144,0.1,0.0,-0.3876041,-24.770937698272263,0.10548245525184025,0.007616374401517412,-0.04575301216194128,-0.04566013556624493,0.0029137848175323023,0.5432064362492213,0.0054824537617241265,0.007616374401517412,0.34194395202492633,-0.011416085,-1.0111281158257333,-1,5.11479377746582,28.124422073364258,66.69400024414062
1765552431.8869927,-25.334122,0.1,0.0,-0.38158295,-24.771479460401153,0.10550860096369928,0.007610515447119326,-0.0033350499563795095,-0.0032083299145665317,0.000910591769589688,0.5626422437004095,0.005508599473583162,0.007610515447119326,0.3783746156706843,0.05007335,-1.15104721558195,-1,6.278038024902344,30.8399658203125,72.40510559082031
1765552431.9390898,-25.354034,0.1,0.0,-0.37558088,-24.774199993161826,0.10525457361575144,0.007707720826907405,-0.08427100419453849,-0.08416124142059905,-0.0042997198164027185,0.579834430666299,0.005254572125635321,0.007707720826907404,0.2914196356450595,0.037850417,-1.2694455405123148,-1,8.440256118774414,29.892087936401367,64.47270202636719
